Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
LLY,49.19,47.78,45.12,8.89,29.34,34.68,32.89,10.29,N/A,N/A,N/A,N/A,0.59,1.23,0.97,0.26,7418.00,2665.00,2174.00,1971.00,1170.00,7635.00,3115.00,N/A,N/A,N/A,34.60,N/A,N/A
EMR,23.31,16.83,24.62,3.11,5.68,15.86,14.44,3.01,0.12,210300.00,26563.00,5.40,0.77,1.35,1.02,0.38,3959.00,1667.00,1597.00,1263.00,968.00,2519.00,1809.00,1477.00,73.19,42.26,29.27,62.79,36.26
ENPH,293.61,209.34,179.49,18.91,56.94,74.25,164.31,23.38,N/A,N/A,N/A,N/A,0.84,3.33,3.16,2.31,4012.00,1597.00,875.00,1052.00,887.00,3182.00,1904.00,N/A,N/A,N/A,50.66,N/A,N/A
ETR,21.84,20.21,20.33,1.94,1.96,9.88,12.36,4.17,N/A,N/A,N/A,N/A,0.20,0.51,0.32,0.07,2307.00,1647.00,1119.00,956.00,190.00,973.00,516.00,N/A,N/A,N/A,46.03,N/A,N/A
EOG,14.34,11.79,11.12,2.62,2.34,5.90,5.98,2.54,N/A,N/A,N/A,N/A,0.53,2.12,1.98,1.29,4480.00,3693.00,3000.00,2358.00,1260.00,2196.00,2649.00,N/A,N/A,N/A,15.45,N/A,N/A
EPAM,54.56,71.69,81.97,10.51,15.28,62.06,35.14,5.43,N/A,N/A,N/A,N/A,1.20,2.97,2.97,1.90,3157.00,1448.00,1419.00,1282.00,1543.00,2155.00,2183.00,N/A,N/A,N/A,6.79,N/A,N/A
EFX,36.93,36.56,48.63,7.35,9.97,27.11,19.84,6.26,N/A,N/A,N/A,N/A,0.48,0.49,0.49,0.10,5001.00,2329.00,1928.00,1511.00,721.00,2204.00,1391.00,N/A,N/A,N/A,47.96,N/A,N/A
EQIX,127.35,100.58,152.89,11.52,7.04,28.07,26.22,11.17,N/A,N/A,N/A,N/A,0.24,N/A,N/A,N/A,6051.00,1950.00,917.00,754.00,182.00,465.00,513.00,N/A,N/A,N/A,53.70,N/A,N/A
EQR,22.56,24.07,25.53,14.44,3.11,28.08,26.46,14.88,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,2653.00,2551.00,5760.00,5479.00,643.00,1241.00,312.00,N/A,N/A,N/A,40.88,N/A,N/A
ESS,39.59,50.31,46.93,15.91,3.83,21.64,27.67,16.92,N/A,N/A,N/A,N/A,0.11,N/A,N/A,N/A,3048.00,2825.00,3580.00,3391.00,377.00,815.00,330.00,N/A,N/A,N/A,48.92,N/A,N/A
EL,35.33,29.84,40.81,7.21,19.00,32.25,26.84,5.60,0.07,262113.00,46290.00,11.22,0.82,1.84,1.37,0.94,7651.00,1928.00,2050.00,1766.00,1444.00,5745.00,2254.00,2308.00,133.71,57.21,36.86,126.93,54.31
ETSY,35.29,41.88,64.44,13.79,44.24,49.29,28.84,6.89,N/A,N/A,N/A,N/A,0.75,2.18,2.18,1.60,7190.00,2157.00,2025.00,2119.00,1583.00,7199.00,2032.00,N/A,N/A,N/A,63.57,N/A,N/A
RE,7.96,13.95,7.91,0.91,1.06,2.63,7.84,1.08,N/A,N/A,N/A,N/A,0.36,0.43,N/A,N/A,N/A,1362.00,1303.00,1147.00,412.00,1370.00,1376.00,N/A,N/A,N/A,9.11,N/A,N/A
EVRG,18.50,19.92,17.91,2.82,1.70,11.65,11.94,5.09,N/A,N/A,N/A,N/A,0.20,0.55,0.37,0.01,3113.00,2432.00,1792.00,1575.00,316.00,979.00,684.00,N/A,N/A,N/A,39.61,N/A,N/A
